Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 120,TurningMilling,TurningAndMillingMachine,2012-02-26 11:19:00,2012-02-26 23:55:00,12:36,5,CableHead,ID4529,S,4,0,0,
Case 120,TurningMillingQC,QualityCheckOne,2012-03-08 08:35:00,2012-03-08 09:37:00,01:02,5,CableHead,ID4493,D,4,1,0,
Case 120,LaserMarking,LaserMarkingMachine,2012-03-08 13:32:00,2012-03-08 14:41:00,01:09,5,CableHead,ID0998,D,4,0,0,
Case 120,Lapping,LappingMachine ,2012-03-13 15:52:00,2012-03-13 17:11:00,01:19,5,CableHead,ID0998,D,4,0,0,
Case 120,RoundGrinding,GrindingMachine,2012-03-14 07:00:00,2012-03-14 19:16:00,12:16,5,CableHead,ID4872,S,0,0,0,
Case 120,FinalInspectionQC,QualityCheckOne,2012-03-15 07:56:00,2012-03-15 09:11:00,01:15,5,CableHead,ID4493,D,0,4,0,
Case 121,TurningMilling,TurningAndMillingMachine,2012-02-26 23:55:00,2012-02-27 06:55:00,07:00,12,Plug,ID4529,S,1,0,0,
Case 121,TurningMillingQC,QualityCheckOne,2012-03-15 09:00:00,2012-03-15 09:38:00,00:38,12,Plug,ID4493,D,11,0,0,
Case 121,LaserMarking,LaserMarkingMachine,2012-03-16 11:15:00,2012-03-16 11:39:00,00:24,12,Plug,ID0998,D,11,0,0,
Case 121,DeburringManual,ManualDeburring,2012-03-18 08:16:00,2012-03-18 08:17:00,00:01,12,Plug,ID0998,D,11,0,0,
Case 121,FlatGrinding,GrindingMachine,2012-03-18 08:19:00,2012-03-18 09:52:00,01:33,12,Plug,ID0998,D,11,0,0,
Case 121,Lapping,LappingMachine ,2012-03-18 09:52:00,2012-03-18 11:43:00,01:51,12,Plug,ID0998,D,11,0,0,
Case 121,RoundGrinding,GrindingMachine,2012-03-19 08:03:00,2012-03-19 13:19:00,05:16,12,Plug,ID4385,S,0,0,0,
Case 121,RoundGrindingQC,QualityCheckOne,2012-03-21 08:31:00,2012-03-21 10:32:00,02:01,12,Plug,ID4493,D,11,0,0,
Case 122,TurningMilling,TurningAndMillingMachine,2012-03-06 10:18:00,2012-03-06 18:21:00,08:03,3,Cylinder,ID4219,S,0,0,0,
Case 122,TurningMillingQC,QualityCheckOne,2012-03-06 15:50:00,2012-03-06 17:50:00,02:00,3,Cylinder,ID4287,S,0,0,0,
Case 122,Lapping,LappingMachine ,2012-03-09 10:44:00,2012-03-09 11:59:00,01:15,3,Cylinder,ID0998,D,3,0,0,
Case 122,LaserMarking,LaserMarkingMachine,2012-03-20 08:27:00,2012-03-20 09:11:00,00:44,3,Cylinder,ID0998,D,3,0,0,
Case 122,Packing,PackingMachine,2012-03-19 00:00:00,2012-03-19 01:00:00,01:00,3,Cylinder,ID4820,D,3,0,0,
Case 122,FinalInspectionQC,QualityCheckOne,2012-03-19 16:00:00,2012-03-19 16:30:00,00:30,3,Cylinder,ID4287,D,0,0,0,
Case 123,TurningMilling,TurningAndMillingMachine,2012-02-26 11:19:00,2012-02-26 23:55:00,12:36,80,CableHead,ID4429,S,0,0,0,
Case 123,TurningMillingQC,QualityCheckOne,2012-03-16 08:31:00,2012-03-16 09:32:00,01:01,80,CableHead,ID4493,D,0,4,0,
Case 123,LaserMarking,LaserMarkingMachine,2012-03-18 15:03:00,2012-03-18 15:53:00,00:50,80,CableHead,ID4718,D,76,0,0,
Case 124,Lapping,LappingMachine ,2012-03-22 07:32:00,2012-03-22 07:46:00,00:14,12,Ballnut,ID4718,D,12,0,0,
Case 124,FinalInspectionQC,QualityCheckOne,2012-03-23 10:31:00,2012-03-25 10:15:00,23:44,12,Ballnut,ID4287,D,0,0,0,
Case 124,Packing,PackingMachine,2012-03-26 00:00:00,2012-03-26 01:00:00,01:00,12,Ballnut,ID4820,D,12,0,0,
